x,y,v
2.106890,3.277133,4.000
2.119736,3.228779,4.000
2.131711,3.180201,4.000
2.142857,3.131427,4.000
2.153192,3.082474,4.000
2.162741,3.033362,4.000
2.171528,2.984108,4.000
2.179563,2.934725,4.000
2.186852,2.885227,4.000
2.193401,2.835626,4.000
2.199215,2.785933,4.000
2.204298,2.736160,4.000
2.208654,2.686318,4.000
2.212286,2.636418,4.000
2.215194,2.586471,4.000
2.217382,2.536487,4.000
2.218851,2.486477,4.000
2.219602,2.436451,4.000
2.219636,2.386419,4.000
2.218953,2.336392,4.000
2.217554,2.286380,4.000
2.215438,2.236393,4.000
2.212607,2.186441,4.000
2.209058,2.136535,4.000
2.204794,2.086685,4.000
2.199813,2.036902,4.000
2.194116,1.987196,4.000
2.187703,1.937576,4.000
2.180576,1.888055,4.000
2.172737,1.838641,4.000
2.164190,1.789345,4.000
2.154937,1.740176,4.000
2.144980,1.691145,4.000
2.134322,1.642261,4.000
2.122964,1.593536,4.000
2.110909,1.544978,4.000
2.098156,1.496599,4.000
2.084706,1.448409,4.000
2.070559,1.400419,4.000
2.055712,1.352641,4.000
2.040164,1.305086,4.000
2.023911,1.257768,4.000
2.006938,1.210703,4.000
1.989244,1.163904,4.000
1.970823,1.117387,4.000
1.951662,1.071170,4.000
1.931755,1.025269,4.000
1.911086,0.979706,4.000
1.889633,0.934507,4.000
1.867377,0.889698,4.000
1.844301,0.845306,4.000
1.820366,0.801371,4.000
1.795509,0.757950,4.000
1.769681,0.715100,4.000
1.742846,0.672874,4.000
1.714959,0.631335,4.000
1.685939,0.590580,4.000
1.655553,0.550832,4.000
1.623923,0.512066,4.000
1.590993,0.474400,4.000
1.556675,0.437993,4.000
1.520940,0.402976,4.000
1.483939,0.369299,4.000
1.445860,0.336847,4.000
1.406755,0.305638,4.000
1.366694,0.275666,4.000
1.325675,0.247020,4.000
1.283923,0.219453,4.000
1.241521,0.192895,4.000
1.198532,0.167301,4.000
1.154996,0.142646,4.000
1.110957,0.118903,4.000
1.066457,0.096035,4.000
1.021529,0.074021,4.000
0.976181,0.052885,4.000
0.930470,0.032544,4.000
0.884422,0.012980,4.000
0.838058,-0.005822,4.000
0.791398,-0.023878,4.000
0.744461,-0.041202,4.000
0.697264,-0.057805,4.000
0.649825,-0.073702,4.000
0.602159,-0.088904,4.000
0.554280,-0.103422,4.000
0.506202,-0.117269,4.000
0.457939,-0.130456,4.000
0.409504,-0.142992,4.000
0.360907,-0.154890,4.000
0.312161,-0.166159,4.000
0.263275,-0.176807,4.000
0.214257,-0.186824,4.000
0.165120,-0.196245,4.000
0.115874,-0.205079,4.000
0.066528,-0.213335,4.000
0.017090,-0.221024,4.000
-0.032431,-0.228154,4.000
-0.082028,-0.234734,4.000
-0.131694,-0.240775,4.000
-0.181421,-0.246285,4.000
-0.231204,-0.251272,4.036
-0.281035,-0.255746,4.075
-0.330909,-0.259717,4.114
-0.380820,-0.263192,4.153
-0.430763,-0.266180,4.193
-0.480732,-0.268691,4.234
-0.530722,-0.270733,4.275
-0.580729,-0.272315,4.317
-0.630748,-0.273444,4.359
-0.680775,-0.274131,4.403
-0.730806,-0.274384,4.447
-0.780837,-0.274211,4.491
-0.830866,-0.273621,4.535
-0.880888,-0.272621,4.578
-0.930900,-0.271222,4.621
-0.980900,-0.269431,4.663
-1.030884,-0.267256,4.705
-1.080851,-0.264706,4.747
-1.130798,-0.261790,4.788
-1.180722,-0.258514,4.829
-1.230622,-0.254889,4.870
-1.280496,-0.250914,4.910
-1.330342,-0.246606,4.950
-1.380159,-0.241972,4.990
-1.429945,-0.237021,5.029
-1.479700,-0.231759,5.068
-1.529421,-0.226194,5.107
-1.579109,-0.220335,5.145
-1.628761,-0.214189,5.184
-1.678379,-0.207762,5.221
-1.727960,-0.201063,5.259
-1.777505,-0.194099,5.296
-1.827013,-0.186876,5.333
-1.876483,-0.179403,5.370
-1.925916,-0.171687,5.407
-1.975312,-0.163733,5.443
-2.024670,-0.155551,5.479
-2.073991,-0.147145,5.515
-2.123274,-0.138524,5.551
-2.172521,-0.129695,5.586
-2.221731,-0.120663,5.621
-2.270905,-0.111437,5.656
-2.320043,-0.102022,5.691
-2.369146,-0.092426,5.725
-2.418214,-0.082655,5.760
-2.467249,-0.072716,5.794
-2.516250,-0.062616,5.828
-2.565220,-0.052361,5.861
-2.614158,-0.041958,5.895
-2.663067,-0.031414,5.928
-2.711946,-0.020736,5.961
-2.760796,-0.009930,5.994
-2.809620,0.000998,6.000
-2.858418,0.012040,6.000
-2.907192,0.023191,5.984
-2.955942,0.034442,5.965
-3.004670,0.045789,5.946
-3.053378,0.057225,5.927
-3.102066,0.068742,5.908
-3.150736,0.080335,5.889
-3.199390,0.091997,5.870
-3.248028,0.103722,5.851
-3.296653,0.115503,5.831
-3.345266,0.127334,5.812
-3.393868,0.139208,5.793
-3.442462,0.151119,5.773
-3.491047,0.163061,5.754
-3.539627,0.175028,5.734
-3.588202,0.187013,5.714
-3.636775,0.199009,5.695
-3.685346,0.211011,5.675
-3.733917,0.223012,5.655
-3.782490,0.235006,5.635
-3.831066,0.246986,5.615
-3.879647,0.258946,5.595
-3.928235,0.270879,5.575
-3.976831,0.282780,5.554
-4.025437,0.294640,5.534
-4.074054,0.306455,5.514
-4.122684,0.318216,5.493
-4.171328,0.329917,5.473
-4.219988,0.341551,5.452
-4.268666,0.353111,5.431
-4.317363,0.364589,5.411
-4.366082,0.375980,5.390
-4.414822,0.387274,5.369
-4.463586,0.398464,5.348
-4.512376,0.409544,5.327
-4.561192,0.420504,5.306
-4.610037,0.431338,5.284
-4.658911,0.442038,5.263
-4.707817,0.452596,5.242
-4.756754,0.463004,5.220
-4.805724,0.473255,5.198
-4.854729,0.483341,5.177
-4.903769,0.493254,5.155
-4.952845,0.502985,5.133
-5.001959,0.512525,5.111
-5.051111,0.521867,5.089
-5.100301,0.531009,5.067
-5.149528,0.539942,5.045
-5.198795,0.548657,5.022
-5.248101,0.557148,5.000
-5.297447,0.565408,4.977
-5.346831,0.573429,4.955
-5.396255,0.581205,4.932
-5.445718,0.588727,4.909
-5.495220,0.595989,4.886
-5.544761,0.602982,4.863
-5.594340,0.609698,4.840
-5.643957,0.616131,4.816
-5.693610,0.622275,4.793
-5.743300,0.628110,4.769
-5.793026,0.633639,4.746
-5.842785,0.638855,4.722
-5.892576,0.643751,4.698
-5.942399,0.648320,4.674
-5.992251,0.652556,4.650
-6.042131,0.656453,4.626
-6.092037,0.660006,4.601
-6.141966,0.663209,4.577
-6.191917,0.666055,4.552
-6.241887,0.668540,4.527
-6.291874,0.670657,4.502
-6.341875,0.672400,4.477
-6.391889,0.673762,4.452
-6.441911,0.674739,4.427
-6.491939,0.675323,4.401
-6.541971,0.675507,4.375
-6.592002,0.675287,4.350
-6.642030,0.674638,4.324
-6.692050,0.673561,4.298
-6.742059,0.672053,4.271
-6.792053,0.670107,4.245
-6.842028,0.667718,4.218
-6.891979,0.664879,4.191
-6.941902,0.661580,4.165
-6.991792,0.657814,4.137
-7.041643,0.653572,4.110
-7.091451,0.648845,4.083
-7.141210,0.643625,4.055
-7.190914,0.637905,4.027
-7.240558,0.631689,4.000
-7.290132,0.624932,4.000
-7.339624,0.617603,4.000
-7.389033,0.609733,4.000
-7.438352,0.601321,4.000
-7.487577,0.592371,4.000
-7.536696,0.582855,4.000
-7.585686,0.572699,4.000
-7.634547,0.561940,4.000
-7.683284,0.550629,4.026
-7.731865,0.538670,4.074
-7.780257,0.525965,4.122
-7.828494,0.512685,4.170
-7.876588,0.498895,4.217
-7.924547,0.484643,4.263
-7.972382,0.469980,4.309
-8.020105,0.454958,4.355
-8.067730,0.439627,4.400
-8.115270,0.424034,4.444
-8.162738,0.408223,4.488
-8.210145,0.392231,4.532
-8.257503,0.376094,4.575
-8.304822,0.359842,4.618
-8.352113,0.343510,4.661
-8.399386,0.327126,4.703
-8.446651,0.310717,4.745
-8.493916,0.294309,4.786
-8.541190,0.277929,4.802
-8.588483,0.261604,4.778
-8.635805,0.245361,4.755
-8.683166,0.229232,4.731
-8.730575,0.213245,4.707
-8.778043,0.197434,4.683
-8.825579,0.181831,4.659
-8.873194,0.166469,4.635
-8.920897,0.151380,4.611
-8.968695,0.136600,4.586
-9.016600,0.122166,4.561
-9.064624,0.108135,4.537
-9.112761,0.094495,4.512
-9.160995,0.081204,4.487
-9.209332,0.068294,4.462
-9.257780,0.055805,4.436
-9.306329,0.043714,4.411
-9.354976,0.032024,4.385
-9.403722,0.020752,4.360
-9.452561,0.009895,4.334
-9.501488,-0.000565,4.308
-9.550498,-0.010622,4.281
-9.599591,-0.020267,4.255
-9.648765,-0.029497,4.228
-9.698015,-0.038308,4.202
-9.747340,-0.046682,4.175
-9.796741,-0.054607,4.148
-9.846209,-0.062097,4.121
-9.895742,-0.069146,4.093
-9.945336,-0.075747,4.066
-9.994989,-0.081896,4.038
-10.044696,-0.087583,4.010
-10.094455,-0.092803,4.000
-10.144261,-0.097548,4.000
-10.194111,-0.101810,4.000
-10.244001,-0.105581,4.000
-10.293925,-0.108852,4.000
-10.343881,-0.111615,4.000
-10.393864,-0.113831,4.000
-10.443867,-0.115513,4.000
-10.493886,-0.116659,4.000
-10.543914,-0.117258,4.000
-10.593946,-0.117301,4.000
-10.643975,-0.116778,4.000
-10.693995,-0.115681,4.000
-10.743998,-0.113999,4.000
-10.793978,-0.111724,4.000
-10.843927,-0.108844,4.000
-10.893837,-0.105353,4.000
-10.943699,-0.101240,4.000
-10.993502,-0.096451,4.000
-11.043238,-0.091018,4.000
