t,v,obs_n,obs_d,obs_x,obs_y,obs_r,raw_n,raw_d,raw_far,dyn_d,mode,scale,reason,fgm_en,fgm_ang,path_n,path_age,override,aeb,ttc,steer,cmd_v,scan_age,obs_age
0.086,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,,0.00,0.00,,
0.098,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0344,
0.118,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0283,
0.138,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0486,
0.158,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0427,
0.178,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0388,
0.198,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0329,
0.218,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0286,
0.238,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0488,
0.258,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0436,
0.279,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0399,
0.298,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0330,
0.318,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0276,
0.338,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0480,
0.358,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0426,
0.378,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0390,
0.398,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0351,
0.418,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0280,
0.438,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0482,
0.458,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0452,
0.478,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0393,
0.498,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0321,
0.518,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0296,
0.539,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0508,
0.558,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0423,
0.579,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0408,
0.599,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0331,
0.618,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0298,
0.638,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0500,
0.658,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0428,
0.678,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0384,
0.698,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0314,
0.718,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0269,
0.739,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0481,
0.759,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0421,
0.785,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0449,
0.801,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,,0.00,0.00,0.0606,0.0039
0.818,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0269,0.0076
0.839,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0476,0.0169
0.858,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0420,0.0142
0.878,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0384,0.0091
0.898,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0348,0.0288
0.918,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0275,0.0191
0.938,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0476,0.0189
0.958,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0454,0.0152
0.978,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0393,0.0099
0.999,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0358,0.0068
1.018,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0296,0.0264
1.038,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0494,0.0157
1.058,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0422,0.0129
1.078,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0385,0.0098
1.099,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0329,0.0055
1.118,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,0.00,0.00,0.0281,0.0247
