t,v,obs_n,obs_d,obs_x,obs_y,obs_r,raw_n,raw_d,raw_far,dyn_d,mode,scale,reason,fgm_en,fgm_ang,path_n,path_age,override,aeb,ttc,steer,cmd_v,scan_age,obs_age
0.644,0.000,1,0.394,0.388,-0.410,0.171,1,0.394,0.394,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0034
0.664,0.000,1,0.394,0.388,-0.410,0.171,1,0.394,0.394,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0237
0.685,0.000,1,0.381,0.399,-0.405,0.188,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0196
0.704,0.000,1,0.404,0.405,-0.411,0.173,1,0.404,0.404,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0165
0.724,0.000,1,0.391,0.382,-0.409,0.168,1,0.391,0.391,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0115
0.744,0.000,1,0.392,0.391,-0.409,0.174,1,0.392,0.392,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0066
0.764,0.000,1,0.388,0.391,-0.411,0.179,1,0.388,0.388,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0026
0.784,0.000,1,0.388,0.391,-0.411,0.179,1,0.388,0.388,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0227
0.806,0.000,1,0.385,0.389,-0.409,0.180,1,0.385,0.385,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0175
0.824,0.000,1,0.375,0.385,-0.409,0.186,1,0.375,0.375,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0124
0.844,0.000,1,0.383,0.390,-0.409,0.182,1,0.383,0.383,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0069
0.864,0.000,1,0.390,0.391,-0.409,0.176,1,0.390,0.390,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0019
0.884,0.000,1,0.390,0.391,-0.409,0.176,1,0.390,0.390,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0221
0.904,0.000,1,0.380,0.393,-0.408,0.186,1,0.380,0.380,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0170
0.924,0.000,1,0.389,0.393,-0.407,0.177,1,0.389,0.389,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0107
0.944,0.000,1,0.383,0.389,-0.408,0.182,1,0.383,0.383,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0078
0.965,0.000,1,0.381,0.394,-0.408,0.186,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0008
0.984,0.000,1,0.381,0.394,-0.408,0.186,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0205
1.004,0.000,1,0.377,0.389,-0.411,0.189,1,0.377,0.377,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0168
1.024,0.000,1,0.390,0.391,-0.408,0.174,1,0.390,0.390,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0044
1.044,0.000,1,0.387,0.390,-0.410,0.179,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0082
1.064,0.000,1,0.392,0.394,-0.406,0.174,1,0.392,0.392,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0022
1.084,0.000,1,0.392,0.394,-0.406,0.174,1,0.392,0.392,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0225
1.104,0.000,1,0.377,0.387,-0.411,0.187,1,0.377,0.377,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0178
1.124,0.000,1,0.392,0.396,-0.408,0.176,1,0.392,0.392,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0120
1.144,0.000,1,0.399,0.385,-0.411,0.164,1,0.399,0.399,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0088
1.164,0.000,1,0.388,0.388,-0.410,0.176,1,0.388,0.388,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0028
1.184,0.000,1,0.388,0.388,-0.410,0.176,1,0.388,0.388,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0231
1.205,0.000,1,0.374,0.383,-0.411,0.188,1,0.374,0.374,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0153
1.224,0.000,1,0.376,0.392,-0.405,0.188,1,0.376,0.376,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0118
1.244,0.000,1,0.381,0.391,-0.407,0.184,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0061
1.264,0.000,1,0.381,0.391,-0.407,0.184,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0261
1.285,0.000,1,0.390,0.394,-0.404,0.174,1,0.390,0.390,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0279,0.0184
1.308,0.000,1,0.404,0.395,-0.404,0.161,1,0.404,0.404,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0509,0.0216
1.324,0.000,1,0.382,0.393,-0.411,0.186,1,0.382,0.382,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0410,0.0123
1.344,0.000,1,0.388,0.391,-0.408,0.178,1,0.388,0.388,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0367,0.0073
1.391,0.000,1,0.388,0.391,-0.408,0.178,1,0.388,0.388,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0585,0.0546
1.405,0.000,1,0.388,0.391,-0.408,0.178,1,0.388,0.388,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0716,0.0677
1.426,0.000,1,0.377,0.382,-0.408,0.182,1,0.377,0.377,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0388,0.0011
1.461,0.000,1,0.368,0.381,-0.406,0.189,1,0.368,0.368,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0738,0.0347
1.464,0.000,1,0.379,0.383,-0.412,0.184,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0301,0.0009
1.484,0.000,1,0.379,0.383,-0.412,0.184,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0281,0.0212
1.504,0.000,1,0.376,0.388,-0.411,0.189,1,0.376,0.376,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0474,0.0179
1.524,0.000,1,0.378,0.389,-0.409,0.187,1,0.378,0.378,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0415,0.0125
1.544,0.000,1,0.376,0.383,-0.411,0.185,1,0.376,0.376,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0374,0.0088
1.564,0.000,1,0.383,0.387,-0.411,0.181,1,0.383,0.383,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,0.0272,0.0037
1.585,0.000,1,0.383,0.387,-0.411,0.181,1,0.383,0.383,,,1.000,,0,,0,,0,0,-1.000,-8.18,4.39,0.0214,0.0245
1.605,0.000,1,0.378,0.386,-0.412,0.186,1,0.378,0.378,,,1.000,,0,,0,,0,0,-1.000,-8.38,4.37,0.0420,0.0198
1.624,0.000,1,0.393,0.385,-0.408,0.168,1,0.393,0.393,,,1.000,,0,,0,,0,0,-1.000,-8.38,4.37,0.0389,0.0095
1.644,0.000,1,0.379,0.389,-0.408,0.185,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,-8.23,4.39,0.0353,0.0084
1.664,0.000,1,0.372,0.380,-0.410,0.187,1,0.372,0.372,,,1.000,,0,,0,,0,0,-1.000,-8.21,4.37,0.0321,0.0021
1.684,0.000,1,0.372,0.380,-0.410,0.187,1,0.372,0.372,,,1.000,,0,,0,,0,0,-1.000,-7.31,4.39,0.0279,0.0221
1.704,0.000,1,0.381,0.388,-0.408,0.182,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,-7.31,4.39,0.0476,0.0144
1.724,0.000,1,0.384,0.386,-0.411,0.180,1,0.384,0.384,,,1.000,,0,,0,,0,0,-1.000,-8.02,4.37,0.0416,0.0110
1.744,0.000,1,0.385,0.388,-0.410,0.180,1,0.385,0.385,,,1.000,,0,,0,,0,0,-1.000,-8.02,4.37,0.0352,0.0086
1.764,0.000,1,0.379,0.392,-0.411,0.188,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,-8.14,4.39,0.0321,0.0043
1.784,0.000,1,0.379,0.392,-0.411,0.188,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,-8.06,4.39,0.0526,0.0247
1.807,0.000,1,0.381,0.389,-0.407,0.182,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,-8.06,4.39,0.0505,0.0202
1.824,0.000,1,0.383,0.389,-0.409,0.181,1,0.383,0.383,,,1.000,,0,,0,,0,0,-1.000,-8.70,4.39,0.0425,0.0121
1.844,0.000,1,0.404,0.394,-0.408,0.164,1,0.404,0.404,,,1.000,,0,,0,,0,0,-1.000,-8.35,4.39,0.0380,0.0071
1.864,0.000,1,0.404,0.394,-0.408,0.164,1,0.404,0.404,,,1.000,,0,,0,,0,0,-1.000,-8.36,4.37,0.0296,0.0271
1.884,0.000,1,0.397,0.385,-0.413,0.168,1,0.397,0.397,,,1.000,,0,,0,,0,0,-1.000,-8.36,4.37,0.0282,0.0194
1.909,0.000,1,0.380,0.383,-0.409,0.180,1,0.380,0.380,,,1.000,,0,,0,,0,0,-1.000,-8.42,4.39,0.0528,0.0181
1.930,0.000,1,0.380,0.390,-0.410,0.186,1,0.380,0.380,,,1.000,,0,,0,,0,0,-1.000,-8.35,4.39,0.0479,0.0141
1.944,0.000,1,0.387,0.399,-0.408,0.185,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,-8.35,4.39,0.0323,0.0075
1.965,0.000,1,0.387,0.399,-0.408,0.185,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,-8.16,4.39,0.0335,0.0284
1.984,0.000,1,0.387,0.385,-0.409,0.175,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,-8.16,4.39,0.0269,0.0179
2.007,0.000,1,0.384,0.391,-0.408,0.181,1,0.384,0.384,,,1.000,,0,,0,,0,0,-1.000,-8.79,4.39,0.0503,0.0225
2.025,0.000,1,0.388,0.386,-0.410,0.175,1,0.388,0.388,,,1.000,,0,,0,,0,0,-1.000,-8.21,4.39,0.0439,0.0146
2.044,0.000,1,0.379,0.385,-0.408,0.182,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,-8.21,4.39,0.0368,0.0094
2.064,0.000,1,0.379,0.394,-0.408,0.188,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,-8.11,4.39,0.0326,0.0036
2.085,0.000,1,0.379,0.394,-0.408,0.188,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,-8.10,4.39,0.0267,0.0249
2.105,0.000,1,0.407,0.392,-0.409,0.160,1,0.407,0.407,,,1.000,,0,,0,,0,0,-1.000,-8.10,4.39,0.0461,0.0190
2.124,0.000,1,0.386,0.389,-0.408,0.178,1,0.386,0.386,,,1.000,,0,,0,,0,0,-1.000,-7.98,4.39,0.0404,0.0137
2.144,0.000,1,0.379,0.394,-0.407,0.188,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,-8.56,4.39,0.0354,0.0091
2.164,0.000,1,0.387,0.391,-0.409,0.179,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,-8.33,4.39,0.0305,0.0042
2.184,0.000,1,0.387,0.391,-0.409,0.179,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,-8.33,4.39,0.0264,0.0247
2.205,0.000,1,0.382,0.393,-0.408,0.184,1,0.382,0.382,,,1.000,,0,,0,,0,0,-1.000,-8.31,4.39,0.0465,0.0192
2.224,0.000,1,0.391,0.391,-0.411,0.176,1,0.391,0.391,,,1.000,,0,,0,,0,0,-1.000,-8.31,4.39,0.0410,0.0116
2.244,0.000,1,0.387,0.391,-0.408,0.178,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,-8.34,4.39,0.0353,0.0089
2.264,0.000,1,0.390,0.388,-0.410,0.174,1,0.390,0.390,,,1.000,,0,,0,,0,0,-1.000,-7.49,4.39,0.0318,0.0048
2.284,0.000,1,0.390,0.388,-0.410,0.174,1,0.390,0.390,,,1.000,,0,,0,,0,0,-1.000,-7.49,4.39,0.0278,0.0248
2.304,0.000,1,0.387,0.392,-0.406,0.177,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,-8.66,4.39,0.0481,0.0195
2.325,0.000,1,0.386,0.387,-0.411,0.179,1,0.386,0.386,,,1.000,,0,,0,,0,0,-1.000,-8.17,4.39,0.0430,0.0154
2.344,0.000,1,0.393,0.392,-0.409,0.174,1,0.393,0.393,,,1.000,,0,,0,,0,0,-1.000,-8.17,4.39,0.0380,0.0110
2.364,0.000,1,0.374,0.388,-0.408,0.189,1,0.374,0.374,,,1.000,,0,,0,,0,0,-1.000,-8.13,4.39,0.0320,0.0026
2.384,0.000,1,0.381,0.386,-0.412,0.183,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,-7.98,4.39,0.0275,0.0010
2.404,0.000,1,0.381,0.386,-0.412,0.183,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,-7.98,4.39,0.0474,0.0209
2.425,0.000,1,0.392,0.390,-0.410,0.173,1,0.392,0.392,,,1.000,,0,,0,,0,0,-1.000,-8.47,4.37,0.0432,0.0128
2.444,0.000,1,0.382,0.385,-0.413,0.182,1,0.382,0.382,,,1.000,,0,,0,,0,0,-1.000,-8.47,4.37,0.0384,0.0080
2.464,0.000,1,0.384,0.389,-0.410,0.182,1,0.384,0.384,,,1.000,,0,,0,,0,0,-1.000,-8.22,4.37,0.0322,0.0051
2.484,0.000,1,0.384,0.389,-0.410,0.182,1,0.384,0.384,,,1.000,,0,,0,,0,0,-1.000,-8.11,4.39,0.0284,0.0252
2.506,0.000,1,0.376,0.385,-0.409,0.185,1,0.376,0.376,,,1.000,,0,,0,,0,0,-1.000,-7.66,4.39,0.0503,0.0207
2.527,0.000,1,0.380,0.387,-0.408,0.182,1,0.380,0.380,,,1.000,,0,,0,,0,0,-1.000,-7.66,4.39,0.0455,0.0078
2.544,0.000,1,0.376,0.385,-0.410,0.186,1,0.376,0.376,,,1.000,,0,,0,,0,0,-1.000,-8.07,4.37,0.0372,0.0082
2.564,0.000,1,0.385,0.389,-0.408,0.178,1,0.385,0.385,,,1.000,,0,,0,,0,0,-1.000,-8.18,4.39,0.0342,0.0039
2.584,0.000,1,0.385,0.389,-0.408,0.178,1,0.385,0.385,,,1.000,,0,,0,,0,0,-1.000,-8.18,4.39,0.0289,0.0243
2.607,0.000,1,0.388,0.391,-0.408,0.178,1,0.388,0.388,,,1.000,,0,,0,,0,0,-1.000,-8.34,4.39,0.0518,0.0183
2.624,0.000,1,0.380,0.392,-0.406,0.185,1,0.380,0.380,,GLOBAL,1.000,,0,,0,,0,0,-1.000,-8.34,4.39,0.0415,0.0119
2.644,0.000,1,0.387,0.390,-0.410,0.179,1,0.387,0.387,,GLOBAL,1.000,,0,,0,,0,0,-1.000,-8.34,4.39,0.0374,0.0086
2.664,0.000,1,0.386,0.389,-0.408,0.178,1,0.386,0.386,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.79,4.39,0.0321,0.0034
2.690,0.000,1,0.386,0.389,-0.408,0.178,1,0.386,0.386,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.95,4.39,0.0584,0.0297
2.719,0.000,1,0.386,0.389,-0.408,0.178,1,0.386,0.386,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.95,4.39,0.0641,0.0585
2.748,0.000,1,0.385,0.393,-0.405,0.179,1,0.385,0.385,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.95,4.39,0.0664,0.0158
2.777,0.000,1,0.385,0.393,-0.405,0.179,1,0.385,0.385,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.95,4.39,0.0463,0.0449
2.792,0.000,1,0.388,0.391,-0.409,0.178,1,0.388,0.388,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.95,4.39,0.0616,0.0017
2.820,0.000,1,0.388,0.391,-0.409,0.178,1,0.388,0.388,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.48,4.39,0.0661,0.0303
2.847,0.000,1,0.406,0.392,-0.411,0.162,1,0.406,0.406,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.48,4.39,0.0929,0.0230
2.865,0.000,1,0.383,0.388,-0.409,0.180,1,0.383,0.383,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.48,4.39,0.0330,0.0155
2.884,0.000,1,0.389,0.392,-0.408,0.178,1,0.389,0.389,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.48,4.39,0.0301,0.0082
2.905,0.000,1,0.387,0.387,-0.411,0.178,1,0.387,0.387,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.48,4.39,0.0506,0.0022
2.924,0.000,1,0.386,0.385,-0.411,0.176,1,0.386,0.386,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.48,4.39,0.0424,0.0123
2.944,0.000,1,0.386,0.390,-0.410,0.180,1,0.386,0.386,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-6.88,4.39,0.0395,0.0075
2.964,0.000,1,0.383,0.389,-0.411,0.183,1,0.383,0.383,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-10.95,4.39,0.0324,0.0030
2.984,0.000,1,0.388,0.388,-0.409,0.176,1,0.388,0.388,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.28,4.39,0.0303,0.0006
3.004,0.000,1,0.388,0.388,-0.409,0.176,1,0.388,0.388,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.24,4.39,0.0498,0.0200
3.024,0.000,1,0.403,0.391,-0.408,0.162,1,0.403,0.403,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.24,4.39,0.0426,0.0138
3.044,0.000,1,0.397,0.391,-0.410,0.169,1,0.397,0.397,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.24,4.39,0.0386,0.0115
3.064,0.000,1,0.382,0.388,-0.409,0.182,1,0.382,0.382,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.24,4.39,0.0332,0.0061
3.084,0.000,1,0.410,0.393,-0.409,0.157,1,0.410,0.410,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.41,4.39,0.0288,0.0020
3.104,0.000,1,0.410,0.393,-0.409,0.157,1,0.410,0.410,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-6.95,4.39,0.0490,0.0222
3.126,0.000,1,0.403,0.389,-0.409,0.161,1,0.403,0.403,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.45,4.39,0.0447,0.0168
3.144,0.000,1,0.399,0.388,-0.409,0.165,1,0.399,0.399,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.45,4.39,0.0390,0.0105
3.164,0.000,1,0.379,0.388,-0.407,0.183,1,0.379,0.379,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.67,4.39,0.0347,0.0038
3.184,0.000,1,0.390,0.389,-0.408,0.174,1,0.390,0.390,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.67,4.39,0.0293,0.0012
3.204,0.000,1,0.390,0.389,-0.408,0.174,1,0.390,0.390,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.44,4.39,0.0492,0.0212
3.224,0.000,1,0.376,0.389,-0.410,0.189,1,0.376,0.376,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.81,4.37,0.0452,0.0114
3.244,0.000,1,0.386,0.388,-0.408,0.178,1,0.386,0.386,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.81,4.37,0.0395,0.0092
3.267,0.000,1,0.385,0.392,-0.408,0.180,1,0.385,0.385,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.06,4.39,0.0387,0.0081
3.284,0.000,1,0.385,0.392,-0.408,0.180,1,0.385,0.385,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.93,4.37,0.0295,0.0248
3.304,0.000,1,0.387,0.383,-0.409,0.173,1,0.387,0.387,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.93,4.37,0.0496,0.0192
3.324,0.000,1,0.385,0.392,-0.408,0.181,1,0.385,0.385,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.40,4.39,0.0456,0.0128
3.344,0.000,1,0.376,0.387,-0.410,0.187,1,0.376,0.376,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.17,4.39,0.0398,0.0101
3.364,0.000,1,0.379,0.394,-0.407,0.187,1,0.379,0.379,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.24,4.39,0.0356,0.0055
3.384,0.000,1,0.384,0.389,-0.410,0.182,1,0.384,0.384,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.24,4.39,0.0297,0.0027
3.404,0.000,1,0.384,0.389,-0.410,0.182,1,0.384,0.384,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.43,4.39,0.0498,0.0228
3.424,0.000,1,0.381,0.395,-0.408,0.187,1,0.381,0.381,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.37,4.39,0.0459,0.0175
3.444,0.000,1,0.407,0.393,-0.408,0.159,1,0.407,0.407,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.37,4.39,0.0402,0.0118
3.464,0.000,1,0.388,0.392,-0.408,0.178,1,0.388,0.388,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.11,4.39,0.0351,0.0071
3.484,0.000,1,0.382,0.390,-0.410,0.184,1,0.382,0.382,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.98,4.39,0.0301,0.0029
3.511,0.000,1,0.382,0.390,-0.410,0.184,1,0.382,0.382,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.98,4.39,0.0576,0.0305
3.524,0.000,1,0.385,0.384,-0.411,0.177,1,0.385,0.385,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.58,4.37,0.0448,0.0118
3.544,0.000,1,0.391,0.384,-0.411,0.171,1,0.391,0.391,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.58,4.37,0.0390,0.0132
3.564,0.000,1,0.386,0.388,-0.410,0.178,1,0.386,0.386,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.15,4.39,0.0347,0.0075
3.584,0.000,1,0.379,0.385,-0.412,0.185,1,0.379,0.379,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-8.88,4.39,0.0306,0.0013
3.605,0.000,1,0.379,0.385,-0.412,0.185,1,0.379,0.379,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,-7.69,4.39,0.0273,0.0220
