t,v,obs_n,obs_d,obs_x,obs_y,obs_r,raw_n,raw_d,raw_far,dyn_d,mode,scale,reason,fgm_en,fgm_ang,path_n,path_age,override,aeb,ttc,steer,cmd_v,scan_age,obs_age
0.054,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,,0.00,0.00,,
0.064,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
0.086,0.000,1,0.383,0.397,-0.407,0.185,1,0.383,0.383,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0080
0.104,0.000,1,0.386,0.392,-0.406,0.178,1,0.386,0.386,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0141
0.125,0.000,1,0.392,0.392,-0.405,0.172,1,0.392,0.392,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0103
0.144,0.000,1,0.390,0.388,-0.410,0.175,1,0.390,0.390,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0010
0.165,0.000,1,0.390,0.388,-0.410,0.175,1,0.390,0.390,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0219
0.192,0.000,1,0.376,0.391,-0.407,0.188,1,0.376,0.376,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0220
0.208,0.000,1,0.405,0.391,-0.409,0.161,1,0.405,0.405,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0161
0.225,0.000,1,0.405,0.391,-0.409,0.161,1,0.405,0.405,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0326
0.245,0.000,1,0.382,0.385,-0.410,0.180,1,0.382,0.382,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0033
0.264,0.000,1,0.382,0.385,-0.410,0.180,1,0.382,0.382,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0229
0.290,0.000,1,0.399,0.394,-0.411,0.170,1,0.399,0.399,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0150
0.312,0.000,1,0.381,0.389,-0.408,0.182,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0159
0.324,0.000,1,0.379,0.387,-0.409,0.184,1,0.379,0.379,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0066
0.344,0.000,1,0.401,0.394,-0.408,0.166,1,0.401,0.401,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0048
0.365,0.000,1,0.387,0.391,-0.407,0.177,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0024
0.384,0.000,1,0.387,0.391,-0.407,0.177,1,0.387,0.387,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0215
0.405,0.000,1,0.405,0.391,-0.409,0.161,1,0.405,0.405,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0130
0.424,0.000,1,0.386,0.392,-0.410,0.181,1,0.386,0.386,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0114
0.444,0.000,1,0.381,0.391,-0.409,0.185,1,0.381,0.381,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0046
0.464,0.000,1,0.382,0.393,-0.410,0.186,1,0.382,0.382,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0018
0.484,0.000,1,0.382,0.393,-0.410,0.186,1,0.382,0.382,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0218
0.506,0.000,1,0.382,0.390,-0.408,0.183,1,0.382,0.382,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0158
0.524,0.000,1,0.382,0.390,-0.408,0.183,1,0.382,0.382,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0341
0.544,0.000,1,0.377,0.385,-0.411,0.186,1,0.377,0.377,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0019
0.564,0.000,1,0.394,0.396,-0.408,0.175,1,0.394,0.394,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0015
0.591,0.000,1,0.394,0.396,-0.408,0.175,1,0.394,0.394,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0290
0.604,0.000,1,0.386,0.399,-0.408,0.185,1,0.386,0.386,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0116
0.624,0.000,1,0.380,0.389,-0.408,0.184,1,0.380,0.380,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,0.0062
