t,v,obs_n,obs_d,obs_x,obs_y,obs_r,raw_n,raw_d,raw_far,dyn_d,mode,scale,reason,fgm_en,fgm_ang,path_n,path_age,override,aeb,ttc,steer,cmd_v,scan_age,obs_age
1.277,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.297,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.317,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.337,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.357,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.377,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.397,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.421,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.445,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.458,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.478,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.497,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.517,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.537,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.557,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.577,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.601,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.629,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.637,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.657,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.677,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.697,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.717,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.737,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.757,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.779,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.797,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.817,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.837,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.857,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.877,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.897,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.917,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.937,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.957,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
1.978,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,0.00,0.00,,
