x,y,v
-9.296937,2.450542,3.000
-9.247646,2.459096,3.000
-9.198144,2.466330,3.000
-9.148480,2.472355,3.000
-9.098694,2.477282,3.000
-9.048820,2.481219,3.000
-8.998883,2.484266,3.000
-8.948904,2.486519,3.000
-8.898898,2.488063,3.000
-8.848876,2.488979,3.000
-8.798847,2.489335,3.000
-8.748817,2.489197,3.000
-8.698789,2.488618,3.000
-8.648768,2.487647,3.000
-8.598755,2.486326,3.000
-8.548751,2.484692,3.000
-8.498757,2.482776,3.000
-8.448773,2.480605,3.000
-8.398800,2.478201,3.019
-8.348837,2.475586,3.064
-8.298886,2.472777,3.108
-8.248944,2.469790,3.152
-8.199012,2.466639,3.195
-8.149090,2.463339,3.237
-8.099178,2.459904,3.279
-8.049273,2.456347,3.321
-7.999377,2.452681,3.362
-7.949488,2.448918,3.402
-7.899605,2.445072,3.442
-7.849727,2.441156,3.482
-7.799855,2.437181,3.521
-7.749986,2.433158,3.559
-7.700120,2.429098,3.598
-7.650256,2.425011,3.635
-7.600394,2.420904,3.673
-7.550533,2.416785,3.710
-7.500672,2.412658,3.747
-7.450812,2.408527,3.783
-7.400952,2.404395,3.819
-7.351092,2.400262,3.855
-7.301233,2.396127,3.890
-7.251373,2.391989,3.925
-7.201514,2.387846,3.960
-7.151656,2.383692,3.994
-7.101799,2.379526,4.028
-7.051943,2.375342,4.062
-7.002089,2.371135,4.077
-6.952238,2.366903,4.058
-6.902389,2.362641,4.039
-6.852542,2.358346,4.019
-6.802699,2.354016,4.000
-6.752859,2.349649,3.980
-6.703023,2.345244,3.961
-6.653189,2.340801,3.941
-6.603359,2.336320,3.921
-6.553533,2.331804,3.901
-6.503709,2.327253,3.881
-6.453889,2.322671,3.861
-6.404071,2.318059,3.840
-6.354255,2.313420,3.820
-6.304442,2.308759,3.799
-6.254631,2.304076,3.779
-6.204821,2.299377,3.758
-6.155012,2.294663,3.737
-6.105205,2.289937,3.716
-6.055399,2.285202,3.695
-6.005593,2.280460,3.674
-5.955788,2.275714,3.652
-5.905983,2.270966,3.631
-5.856178,2.266216,3.609
-5.806373,2.261465,3.588
-5.756568,2.256714,3.566
-5.706763,2.251962,3.544
-5.656959,2.247205,3.522
-5.607156,2.242441,3.499
-5.557353,2.237663,3.477
-5.507553,2.232863,3.455
-5.457756,2.228032,3.432
-5.407963,2.223154,3.409
-5.358177,2.218215,3.386
-5.308399,2.213194,3.363
-5.258631,2.208069,3.339
-5.208877,2.202813,3.316
-5.159140,2.197396,3.292
-5.109425,2.191787,3.268
-5.059736,2.185949,3.244
-5.010079,2.179845,3.220
-4.960460,2.173435,3.196
-4.910888,2.166678,3.171
-4.861371,2.159531,3.147
-4.811918,2.151953,3.122
-4.762539,2.143901,3.097
-4.713248,2.135335,3.071
-4.664056,2.126215,3.046
-4.614977,2.116506,3.020
-4.566026,2.106172,3.000
-4.517218,2.095183,3.000
-4.468569,2.083512,3.000
-4.420094,2.071137,3.000
-4.371809,2.058039,3.000
-4.323731,2.044202,3.000
-4.275875,2.029618,3.000
-4.228255,2.014279,3.000
-4.180885,1.998185,3.000
-4.133778,1.981337,3.000
-4.086945,1.963740,3.000
-4.040397,1.945404,3.000
-3.994141,1.926341,3.000
-3.948187,1.906564,3.000
-3.902538,1.886091,3.000
-3.857199,1.864940,3.000
-3.812173,1.843131,3.000
-3.767462,1.820684,3.000
-3.723064,1.797623,3.001
-3.678978,1.773970,3.045
-3.635203,1.749747,3.089
-3.591735,1.724979,3.133
-3.548568,1.699687,3.176
-3.505698,1.673896,3.219
-3.463119,1.647628,3.261
-3.420822,1.620906,3.303
-3.378801,1.593754,3.344
-3.337046,1.566194,3.385
-3.295548,1.538248,3.425
-3.254297,1.509940,3.465
-3.213280,1.481292,3.504
-3.172486,1.452328,3.543
-3.131902,1.423071,3.581
-3.091513,1.393545,3.619
-3.051305,1.363772,3.657
-3.011262,1.333778,3.694
-2.971368,1.303586,3.731
-2.931607,1.273220,3.767
-2.891960,1.242704,3.804
-2.852410,1.212062,3.839
-2.812940,1.181318,3.875
-2.773532,1.150495,3.893
-2.734168,1.119614,3.873
-2.694832,1.088699,3.852
-2.655506,1.057770,3.832
-2.616175,1.026849,3.812
-2.576822,0.995955,3.791
-2.537433,0.965107,3.770
-2.497992,0.934325,3.750
-2.458487,0.903626,3.729
-2.418903,0.873029,3.708
-2.379227,0.842551,3.686
-2.339447,0.812209,3.665
-2.299550,0.782020,3.644
-2.259525,0.752004,3.622
-2.219358,0.722176,3.601
-2.179038,0.692555,3.579
-2.138553,0.663160,3.557
-2.097893,0.634009,3.535
-2.057045,0.605120,3.513
